,name,cost,competitive rate,code,date
276,마이크로디지탈,"23,000",1116.34:1,  305090,  2019.06.05
277,디비금융스팩7호,"2,000",269:1,  322780,  2019.05.31
278,유진스팩4호,"2,000",300.40:1,  321260,  2019.05.31
279,수젠텍,"12,000",1.48:1,  253840,  2019.05.28
280,컴퍼니케이파트너스,"4,500",850.46:1,  307930,  2019.05.23
281,엔에이치스팩14호,"2,000",51.89:1,  319400,  2019.05.08
282,에스앤케이,"40,400",185.17:1,  950180,  2019.05.07
283,한화에스비아이스팩,"2,000",6.66:1,  317320,  2019.05.03
284,하이스팩4호,"2,000",1.89:1,  317240,  2019.04.29
285,아모그린텍,"9,900",22.13:1,  125210,  2019.03.29
286,현대오토에버,"48,000",345.24:1,  307950,  2019.03.28
287,지노믹트리,"27,000",13.10:1,  228760,  2019.03.27
288,케이비스팩17호,"2,000",1.49:1,  317030,  2019.03.27
289,이지케어텍,"12,300",1272.11:1,  099750,  2019.03.22
290,유안타스팩4호,"2,000",1.81:1,  313750,  2019.03.21
291,미래에셋벤처투자,"4,500",1021.77:1,  100790,  2019.03.15
292,드림텍,"13,000",562.7:1,  192650,  2019.03.14
293,에코프로비엠,"48,000",273.78:1,  247540,  2019.03.05
294,셀리드,"33,000",818.83:1,  299660,  2019.02.20
295,천보,"40,000",426.09:1,  278280,  2019.02.11
296,이노테라피,"18,000",463.37:1,  246960,  2019.02.01
297,노랑풍선,"20,000",1025.2:1,  104620,  2019.01.30
298,웹케시,"26,000",947:13.1,  053580,  2019.01.25
299,에어부산,"3,600",36.5:1,  298690,  2018.12.27
300,비피도,"18,000",159.97:1,  238200,  2018.12.26
301,키움스팩5호,"2,000",2.04:1,  311270,  2018.12.26
302,엔에이치스팩13호,"2,000",39.57:1,  310840,  2018.12.24
303,유틸렉스,"50,000",322.96:1,  263050,  2018.12.24
304,미래에셋대우스팩2호,"2,000",67.95:1,  310200,  2018.12.21
305,디케이티,"7,400",780.32:1,  290550,  2018.12.21
306,위지윅스튜디오,"11,000",6.84:1,  299900,  2018.12.20
307,신영스팩4호,"2,000",2.09:1,  307180,  2018.12.21
308,에이비엘바이오,"15,000",0.78:1,  298380,  2018.12.19
309,대신밸런스스팩6호,"2,000",4.37:1,  307750,  2018.12.19
310,한국스팩8호,"2,000",22.02:1,  310870,  2018.12.20
311,삼성머스트스팩3호,"2,000",4.16:1,  309930,  2018.12.20
312,머큐리,"6,100",930.39:1,  100590,  2018.12.14
313,전진바이오팜,"10,000",24.80:1,  110020,  2018.12.14
314,이노메트리,"26,000",791.16:1,  302430,  2018.12.12
315,뉴트리,"14,500",0.19:1,  270870,  2018.12.13
316,골든브릿지이안스팩5호,"2,000",0.57:1,  307870,  2018.12.12
317,대유에이피,"3,000",11.12:1,  290120,  2018.12.07
318,에스케이에이씨피씨스팩4호,"2,000",2.65:1,  307070,  2018.12.07
319,교보스팩8호,"2,000",48.97:1,  307280,  2018.12.05
320,윙입푸드,"2,000",0.71:1,  900340,  2018.11.30
321,하나머스트스팩6호,"2,000",69.81:1,  307160,  2018.11.30
322,베스파,"35,000",3.30:1,  299910,  2018.12.03
323,에코캡,"4,200",0.35:1,  128540,  2018.12.05
324,엠아이텍,"4,500",883.39:1,  179290,  2018.11.29
325,네오펙트,"11,000",400.8:1,  290660,  2018.11.28
326,티로보틱스,"16,000",177.86:1,  117730,  2018.11.29
327,남화산업,"3,700",858.4:1,  111710,  2018.11.29
328,티앤알바이오팹,"18,000",500.35:1,  246710,  2018.11.28
329,아시아나IDT,"15,000",1.21:1,  267850,  2018.11.23
330,아주IB투자,"1,500",63.76:1,  027360,  2018.11.21
331,싸이토젠,"17,000",705.49:1,  217330,  2018.11.22
332,디알젬,"6,500",832.96:1,  263690,  2018.11.22
333,파멥신,"60,000",322.78:1,  208340,  2018.11.21
334,디자인,"10,100",665.04:1,  227100,  2018.11.15
335,디케이앤디,"6,000",975.69:1,  263020,  2018.11.20
336,노바렉스,"19,000",631.42:1,  194700,  2018.11.14
337,셀리버리,"25,000",808.45:1,  268600,  2018.11.09
338,대보마그네틱,"31,000",837.58:1,  290670,  2018.11.06
339,엘앤씨바이오,"24,000",985.59:1,  290650,  2018.11.01
340,노바텍,"10,000",326.67:1,  285490,  2018.11.02
341,디비금융스팩6호,"2,000",42.15:1,  306620,  2018.10.31
342,로보티즈,"14,000",1043.92:1,  108490,  2018.10.26
343,옵티팜,"10,000",463.49:1,  153710,  2018.10.26
344,에스퓨얼셀,"16,500",857.78:1,  288620,  2018.10.15
345,푸드나무,"24,000",914.05:1,  290720,  2018.10.04
346,크리스에프앤씨,"30,000",0.53:1,  110790,  2018.10.01
347,나우아이비캐피탈,"8,500",64.89:1,  293580,  2018.10.04
348,하나제약,"26,000",147.5:1,  293480,  2018.10.02
349,IBKS스팩10호,"2,000",200.32:1,  299170,  2018.09.21
350,지티지웰니스,"11,000",514.16:1,  219750,  2018.09.21
351,우진아이엔에스,"15,000",11.17:1,  010400,  2018.09.14
352,명성티엔에스,"20,000",804.79:1,  257370,  2018.09.13
353,삼성스팩2호,"2,000",20.65:1,  291230,  2018.09.13
354,디지캡,"12,000",931.79:1,  197140,  2018.09.07
355,대신밸런스스팩5호,"2,000",93.50:1,  303030,  2018.08.30
356,액트로,"20,000",545.42:1,  290740,  2018.08.28
357,에이피티씨,"9,000",22.69:1,  089970,  2018.08.23
358,오파스넷,"11,000",1401.36:1,  173130,  2018.08.24
359,바이오솔루션,"29,000",302.62:1,  086820,  2018.08.20
360,대유,"9,000",11.65:1,  290380,  2018.08.10
361,에스에스알,"9,000",1231.66:1,  275630,  2018.08.06
362,디아이티,"10,000",11.10:1,  110990,  2018.08.07
363,휴네시온,"10,000",827.74:1,  290270,  2018.08.02
364,신한알파리츠,"5,000",4.32:1,  293940,  2018.08.08
365,티웨이항공,"12,000",1.15:1,  091810,  2018.08.01
366,한국유니온제약,"18,000",1015.13:1,  080720,  2018.07.26
367,롯데정보통신,"29,800",34.22:1,  286940,  2018.07.27
368,엠코르셋,"11,500",51.47:1,  204020,  2018.07.23
369,IBKS스팩9호,"2,000",,  297570,  2018.07.20
370,올릭스,"36,000",847.09:1,  226950,  2018.07.18
371,아이큐어,"65,000",331.42:1,  175250,  2018.07.12
372,에스브이인베스트먼트,"7,000",974.23:1,  289080,  2018.07.06
373,이원다이애그노믹스,"6,500",810.33:1,  245620,  2018.06.26
374,이리츠코크렙기업,"5,000",0.45:1,  088260,  2018.06.27
375,파워넷,"6,500",1144:1,  037030,  2018.06.07
376,하나금융스팩11호,"2,000",0.36:1,  284620,  2018.06.08
377,현대사료,"6,600",1690:1,  016790,  2018.06.01
378,세종메디칼,"15,000",922.71:1,  258830,  2018.05.29
379,제노레이,"23,000",1028.72:1,  122310,  2018.05.28
380,한국스팩7호,"2,000",0.16:1,  291210,  2018.05.11
381,유안타스팩3호,"2,000",0.13:1,  287410,  2018.05.08
382,제이티씨(JTC),"8,500",465.63:1,  950170,  2018.04.06
383,대신밸런스스팩3호,"2,000",0.15:1,  253590,  2018.04.04
384,케어랩스,"20,000",886.14:1,  263700,  2018.03.28
385,애경산업,"29,100",6.73:1,  018250,  2018.03.22
386,린드먼아시아인베스트먼트,"6,500",1039.51:1,  277070,  2018.03.14
387,에코마이스터,"5,200",213.78:1,  064510,  2018.03.15
388,엔지켐생명과학,"56,000",342.31:1,  183490,  2018.02.21
389,오스테오닉,"7,700",998.83:1,  226400,  2018.02.22
390,동구바이오제약,"16,000",836.67:1,  006620,  2018.02.13
391,알리코제약,"12,000",697.30:1,  260660,  2018.02.12
392,아시아종묘,"4,500",243.2:1,  154030,  2018.02.12
393,카페24,"57,000",731.58:1,  042000,  2018.02.08
394,링크제니시스,"30,000",1184.36:1,  219420,  2018.02.05
395,배럴,"9,500",369.78:1,  267790,  2018.02.01
396,에스지이,"6,000",0.44:1,  255220,  2018.01.26
397,씨앤지하이테크,"16,000",625.64:1,  264660,  2018.01.25
398,시스웍,"2,800",830.31:1,  269620,  2017.12.26
399,한국스팩6호,"2,000",0.05:1,  281410,  2017.12.21
400,디바이스이엔지,"12,000",2.38:1,  187870,  2017.12.20
401,동부스팩5호,"2,000",0.12:1,  281740,  2017.12.12
402,진에어,"31,800",134.05:1,  272450,  2017.12.08
403,동양피스톤,"5,700",20.36:1,  092780,  2017.12.08
404,메카로,"33,000",664.69:1,  241770,  2017.12.06
405,씨티케이코스메틱스,"55,000",145.75:1,  260930,  2017.12.07
