,Unnamed: 0,name,cost,competitive rate,code,date
134,134,원방테크,"54,300",348.77:1,53080,  2020.09.24
135,135,엔에이치스팩17호,"2,000",0.59:1,359090,  2020.09.23
136,136,비나텍,"33,000",1386.85:1,126340,  2020.09.23
137,137,박셀바이오,"30,000",96.44:1,323990,  2020.09.22
138,138,비비씨,"30,700",464.19:1,318410,  2020.09.21
139,139,핌스,"19,000",1161.84:1,347770,  2020.09.18
140,140,교보스팩10호,"2,000",0.17:1,355150,  2020.09.18
141,141,압타머사이언스,"25,000",1251.29:1,291650,  2020.09.16
142,142,이오플로우,"19,000",686.71:1,294090,  2020.09.14
143,143,카카오게임즈,"24,000",1524.8:1,293490,  2020.09.10
144,144,피엔케이피부임상연구센타,"18,300","1,727.11:1",347740,  2020.09.09
145,145,미래에셋대우스팩5호,"2,000",5.78:1,353490,  2020.08.28
146,146,아이디피,"9,800",1149.83:1,332370,  2020.08.24
147,147,셀레믹스,"20,000",1176.45:1,331920,  2020.08.21
148,148,미투젠,"27,000",1010.86:1,950190,  2020.08.18
149,149,코람코에너지플러스리츠,"5,000",1.54:1,357120,  2020.08.31
150,150,브랜드엑스코퍼레이션,"13,000",8.54:1,337930,  2020.08.13
151,151,영림원소프트랩,"11,500",2493.57:1,60850,  2020.08.12
152,152,한국파마,"9,000",2036:1,32300,  2020.08.10
153,153,이루다,"9,000",3039.55:1,164060,  2020.08.06
154,154,제이알글로벌리츠,"5,000",0.23:1,348950,  2020.08.07
155,155,이엔드디,"14,400",808.62:1,101360,  2020.07.30
156,156,와이팜,"11,000",712.13:1,332570,  2020.07.31
157,157,에이치엠씨아이비스팩4호,"2,000",0.68:1,353070,  2020.07.29
158,158,엠투아이,"15,600",176.83:1,347890,  2020.07.29
159,159,더네이쳐홀딩스,"46,000",151.9:1,298540,  2020.07.27
160,160,하나금융스팩16호,"2,000",5.51:1,343510,  2020.07.23
161,161,제놀루션,"14,000",894.67:1,225220,  2020.07.24
162,162,솔트룩스,"25,000",953.53:1,304100,  2020.07.23
163,163,티에스아이,"10,000",1621.1:1,277880,  2020.07.22
164,164,미래에셋맵스리츠1호,"5,000",9:1,357250,  2020.08.05
165,165,에이프로,"21,600",1582.52:1,262260,  2020.07.16
166,166,IBKS스팩13호,"2,000",11.01:1,351340,  2020.07.15
167,167,이지스레지던스리츠,"5,000",2.6:1,350520,  2020.08.05
168,168,소마젠,"11,000",4.42:1,950200,  2020.07.13
169,169,위더스제약,"15,900",1082.03:1,330350,  2020.07.03
170,170,신도기연,"16,000",955.01:1,290520,  2020.07.06
171,171,SK바이오팜,"49,000",323.03:1,326030,  2020.07.02
172,172,마크로밀엠브레인,"6,800",888.01:1,169330,  2020.07.01
173,173,이지스밸류플러스리츠,"5,000",26.86:1,334890,  2020.07.16
174,174,젠큐릭스,"22,700",12.35:1,229000,  2020.06.25
175,175,IBKS스팩14호,"2,000",2.06:1,351320,  2020.06.22
176,176,엘이티,"7,800",1552.16:1,297890,  2020.06.22
177,177,에스씨엠생명과학,"17,000",814.91:1,298060,  2020.06.17
178,178,엔에이치스팩16호,"2,000",0.78:1,353190,  2020.06.17
179,179,드림씨아이에스,"14,900",669.22:1,223250,  2020.05.22
180,180,이베스트스팩5호,"2,000",0.21:1,349720,  2020.05.20
181,181,케이프이에스스팩4호,"2,000",8.71:1,347140,  2020.03.24
182,182,엔피디,"5,400",32.65:1,198080,  2020.03.16
183,183,플레이디,"8,500",864.80:1,237820,  2020.03.12
184,184,에스케이스팩6호,"2,000",0.36:1,340350,  2020.03.11
185,185,서울바이오시스,"7,500",942.70:1,92190,  2020.03.06
186,186,제이앤티씨,"11,000",3.48:1,204270,  2020.03.04
187,187,켄코아에어로스페이스,"10,000",256.68:1,274090,  2020.03.03
188,188,레몬,"7,200",800.07:1,294140,  2020.02.28
189,189,서남,"3,100",881.6:1,294630,  2020.02.20
190,190,신영스팩6호,"2,000",2.08:1,344050,  2020.02.12
191,191,위세아이텍,"12,000",1076.62:1,65370,  2020.02.10
192,192,하나금융스팩15호,"2,000",6.92:1,341160,  2020.01.30
193,193,케이비스팩20호,"2,000",1.19:1,342550,  2020.01.30
194,194,천랩,"40,000",638.63:1,311690,  2019.12.26
195,195,피피아이,"7,000",1147.7:1,62970,  2019.12.26
